asctime,name,topic from,topic to,frame,offset received,frame delay (ms),msg creation delay (ms),consume time (ms),size data received (KB),decode time (ms),size data decoded (KB),process time (ms),size data processed (KB),encode time (ms),size data encoded (KB),send time (ms),size data sent (KB),offset sent
2024/04/25 22:24:30.079,csv_LocalExecutorStorage,input,None,None,118324,-1,14.16,None,None,0.51,21.407,0.0,21.407,0.0,21.407,0.0,21.407,None
2024/04/25 22:24:30.099,csv_LocalExecutorStorage,input,None,None,118325,-1,24.09,None,None,0.0,21.407,0.0,21.407,0.0,21.407,0.0,21.407,None
2024/04/25 22:24:30.102,csv_LocalExecutorStorage,input,None,None,118326,-1,20.73,None,None,0.0,21.407,0.0,21.407,0.0,21.407,0.55,21.407,None
2024/04/25 22:24:30.107,csv_LocalExecutorStorage,input,None,None,118327,-1,19.68,None,None,0.0,21.407,0.0,21.407,0.0,21.407,0.0,21.407,None
2024/04/25 22:24:30.113,csv_LocalExecutorStorage,input,None,None,118328,-1,15.02,None,None,0.0,21.507,0.0,21.507,0.0,21.507,0.0,21.507,None
2024/04/25 22:24:30.125,csv_LocalExecutorStorage,input,None,None,118329,-1,18.3,None,None,0.0,21.507,0.0,21.507,0.0,21.507,0.0,21.507,None
2024/04/25 22:24:30.135,csv_LocalExecutorStorage,input,None,None,118330,-1,15.93,None,None,0.0,21.507,0.0,21.507,0.0,21.507,0.0,21.507,None
2024/04/25 22:24:30.143,csv_LocalExecutorStorage,input,None,None,118331,-1,12.83,None,None,0.0,21.507,0.0,21.507,0.0,21.507,0.0,21.507,None
2024/04/25 22:24:30.153,csv_LocalExecutorStorage,input,None,None,118332,-1,14.32,None,None,0.0,21.488,0.0,21.488,0.0,21.488,0.0,21.488,None
2024/04/25 22:24:30.160,csv_LocalExecutorStorage,input,None,None,118333,-1,11.22,None,None,0.0,21.488,0.0,21.488,0.0,21.488,0.0,21.488,None
2024/04/25 22:24:30.168,csv_LocalExecutorStorage,input,None,None,118334,-1,12.58,None,None,0.0,21.488,0.0,21.488,0.0,21.488,0.0,21.488,None
2024/04/25 22:24:30.176,csv_LocalExecutorStorage,input,None,None,118335,-1,12.12,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.184,csv_LocalExecutorStorage,input,None,None,118336,-1,13.1,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.191,csv_LocalExecutorStorage,input,None,None,118337,-1,12.55,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.199,csv_LocalExecutorStorage,input,None,None,118338,-1,12.37,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.207,csv_LocalExecutorStorage,input,None,None,118339,-1,12.94,None,None,0.09,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.220,csv_LocalExecutorStorage,input,None,None,118340,-1,17.14,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.225,csv_LocalExecutorStorage,input,None,None,118341,-1,12.8,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
2024/04/25 22:24:30.233,csv_LocalExecutorStorage,input,None,None,118342,-1,12.71,None,None,0.0,21.493,0.0,21.493,0.0,21.493,0.0,21.493,None
