asctime,name,topic from,topic to,frame,offset received,frame delay (ms),msg creation delay (ms),consume time (ms),size data received (KB),decode time (ms),size data decoded (KB),process time (ms),size data processed (KB),encode time (ms),size data encoded (KB),send time (ms),size data sent (KB),offset sent
2024/04/22 21:15:22.506,csv_input,None,input,-1,-1,-1,5140.8,5140.8,360.646,0.0,360.646,0.0,360.646,21.1,2.559,19.54,2.559,106890
2024/04/22 21:15:22.507,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,1.0,929.878,0.0,929.878,2.0,6.121,17.57,6.121,106891
2024/04/22 21:15:22.508,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,1.0,929.878,0.0,929.878,2.0,6.121,15.09,6.121,106892
2024/04/22 21:15:22.515,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.0,929.878,0.0,929.878,2.0,6.121,19.21,6.121,106893
2024/04/22 21:15:22.522,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.52,929.878,0.0,929.878,1.56,13.634,20.9,13.634,106894
2024/04/22 21:15:22.529,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.63,929.878,0.0,929.878,3.13,13.725,14.54,13.725,106895
2024/04/22 21:15:22.536,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.52,929.878,0.0,929.878,1.55,13.893,14.53,13.893,106896
2024/04/22 21:15:22.543,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.52,929.878,0.0,929.878,2.08,13.893,14.0,13.893,106897
2024/04/22 21:15:22.550,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.51,929.878,0.0,929.878,2.09,14.106,14.02,14.106,106898
2024/04/22 21:15:22.557,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.53,929.878,0.0,929.878,1.56,14.329,14.67,14.329,106899
2024/04/22 21:15:22.564,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.52,929.878,0.0,929.878,1.56,14.329,13.65,14.329,106900
2024/04/22 21:15:22.570,csv_input,None,input,-1,-1,-1,0.51,0.51,929.878,0.52,929.878,0.06,929.878,1.57,14.271,13.99,14.271,106901
2024/04/22 21:15:22.576,csv_input,None,input,-1,-1,-1,0.0,0.0,929.878,0.44,929.878,0.0,929.878,1.03,13.716,12.92,13.716,106902
